id,provider,utility_type,audience,title,url,filename,downloaded_at,content_type,notes,status,sha256,page_count
enel_luce_business_open_energy_mono,enel,electricity,business,Enel bolletta luce business Open Energy Mono,https://www.enel.it/content/dam/asset/documenti/blog/guide/guida-alla-bolletta/bollette-luce-ufficio-negozio/Open_Energy_Mono.pdf,enel__electricity__business__luce-business-open-energy-mono.pdf,2026-04-22T11:29:15.053276+00:00,application/pdf,Business mono-rate electricity facsimile. | verified_pdf=true,downloaded,65975abcab06d4434e7af9b91f6b15d0248a070c5cab4db7bc91b1501695b2d6,2
iren_guida_luce,iren,electricity,domestic,Iren guida bolletta luce,https://www.irenlucegas.it/content/dam/iren/assistenza/assistenza-clienti/bolletta/guida_alla_lettura_della_bolletta_luce/documenti/Guida_IME_Luce_v3.pdf,iren__electricity__domestic__guida-luce.pdf,2026-04-22T11:29:17.510566+00:00,application/pdf,Provider guide to the post-2025 bill layout. | verified_pdf=true,downloaded,267ef5c136da0a0e020345dd272caa8b94326507ca86486576fd5069808cf502,4
iren_guida_gas,iren,gas,domestic,Iren guida bolletta gas,https://www.irenlucegas.it/content/dam/iren/assistenza/assistenza-clienti/bolletta/guida_alla_lettura_della_bolletta_gas/documenti/Guida_IME_Gas_v3.pdf,iren__gas__domestic__guida-gas.pdf,2026-04-22T11:29:24.480018+00:00,application/pdf,Provider guide to the post-2025 bill layout. | verified_pdf=true,downloaded,c781218699804b64808f0533b8f617537537b3da6b4e254a80ca2309929da5f1,4
a2a_glossario_electricity,a2a,electricity,unknown,A2A glossario energia elettrica,https://www.a2a.it/casa/sites/default/files/NoIndex/documenti/assistenza/glossario/Glossario-ENERGIA-ELETTRICA.pdf,a2a__electricity__unknown__glossario-electricity.pdf,2026-04-22T11:29:29.233704+00:00,application/pdf,A2A glossary for electricity bills. | verified_pdf=true,downloaded,b0326f9fe11fef856ea39c71fe3283d3e50b1b0ad6cde3ddde1dfd9a8f85609a,12
a2a_glossario_gas,a2a,gas,unknown,A2A glossario gas naturale,https://www.a2a.it/casa/sites/default/files/NoIndex/documenti/assistenza/glossario/Glossario-GAS-NATURALE.pdf,a2a__gas__unknown__glossario-gas.pdf,2026-04-22T11:29:30.895220+00:00,application/pdf,A2A glossary for gas bills. | verified_pdf=true,downloaded,764e5da9164624ca97baa8181a1792824041d2dbafe1dc3a880b1720849248ca,11
a2a_guida_ee_business_tutela,a2a,electricity,business,A2A guida EE business tutela,https://maggiortutela.a2a.it/sites/default/files/NoIndex/maggiortutela/supporto/documenti/contratti/GuidaBolletta/A2A_Guida-EE_business_tutela.pdf,a2a__electricity__business__guida-ee-business-tutela.pdf,2026-04-22T11:29:31.672728+00:00,application/pdf,Business/non-domestic electricity bill guide. | verified_pdf=true,downloaded,fb28a6383b79b114d67135fee8d102399a9e2987adfd2729e51d3c625147d2c9,3
a2a_guida_ee_tutela,a2a,electricity,domestic,A2A guida EE tutela,https://maggiortutela.a2a.it/sites/default/files/NoIndex/maggiortutela/supporto/documenti/contratti/GuidaBolletta/A2A_Guida-EE_tutela.pdf,a2a__electricity__domestic__guida-ee-tutela.pdf,2026-04-22T11:29:33.294119+00:00,application/pdf,Residential electricity bill guide. | verified_pdf=true,downloaded,1704b9f3720acb4981c2b86c943cdc5a14a3f3242d935369cabfedf44db1cc05,3
sorgenia_bus_luce_placet_var,sorgenia,electricity,business,Sorgenia business luce placet variabile,https://guidafattura.sorgenia.it/pdf/bus-luce/Placet%20-%20STD%20VAR%20-%20Luce.pdf,sorgenia__electricity__business__bus-luce-placet-var.pdf,2026-04-22T11:29:35.109755+00:00,application/pdf,Business electricity offer/fattura guide. | verified_pdf=true,downloaded,1fb1fb7ed1a97cbea0cfe2210acdcc881755d9cf4d15e70ba005302e014c1581,1
sorgenia_bus_luce_placet_fix,sorgenia,electricity,business,Sorgenia business luce placet fisso,https://guidafattura.sorgenia.it/pdf/bus-luce/Placet%20-%20STD%20FIX%20-%20Luce.pdf,sorgenia__electricity__business__bus-luce-placet-fix.pdf,2026-04-22T11:29:36.113283+00:00,application/pdf,Business electricity fixed-price guide. | verified_pdf=true,downloaded,7eef2aedfd5618eaffe7a90c794d4f1b1e522c7f29b2268b31e4fd6d6385f969,1
sorgenia_bus_gas_placet_fix,sorgenia,gas,business,Sorgenia business gas placet fisso,https://guidafattura.sorgenia.it/pdf/bus-gas/Placet%20-%20STD%20FIX%20-%20Gas.pdf,sorgenia__gas__business__bus-gas-placet-fix.pdf,2026-04-22T11:29:36.949484+00:00,application/pdf,Business gas fixed-price guide. | verified_pdf=true,downloaded,4fa95fcfd9f0e0345a9aa818aeab5861e339b2aa73c0a36d681e75a501779852,1
sorgenia_next_energy_business,sorgenia,electricity,business,Sorgenia Next Energy Business,https://guidafattura.sorgenia.it/files/1315/3840/8568/Next_Energy_Business.pdf,sorgenia__electricity__business__next-energy-business.pdf,2026-04-22T11:29:37.726010+00:00,application/pdf,Business offer-specific pricing and bill wording. | verified_pdf=true,downloaded,9b76f57296e03661129bcd26dae0ed568dcbcfcaaf1653f3211244f996cded92,4
sorgenia_fisso_365_ele_bus,sorgenia,electricity,business,Sorgenia Fisso 365 elettrico business,https://guidafattura.sorgenia.it/files/3915/8564/7324/Fisso_365_ELE_BUS.pdf,sorgenia__electricity__business__fisso-365-ele-bus.pdf,2026-04-22T11:29:38.614151+00:00,application/pdf,Business electricity wording and cost component structure. | verified_pdf=true,downloaded,227c92368e7cdca53e499b924a1ff4467185ec9e2c450d8391f649a1f1f6ece8,3
